,model,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
0,simple_GRU_model_ori_data,0.8183640837669373,0.8231915235519409,0.8790533542633057,0.6589285731315613,0.6316666603088379,0.6133333444595337
1,simple_GRU_model_diff_data,0.9404500126838684,0.9719322919845581,0.9708207249641418,0.5878571271896362,0.5766666531562805,0.5916666388511658
2,simple_GRU_model_all_data,0.9554978609085083,1.0183581113815308,0.9998412132263184,0.5803571343421936,0.5216666460037231,0.5216666460037231
