,model,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
0,simple_RNN_model,1.0903,1.1132,,0.5089,0.51,
1,simple_LSTM_model,1.172415972,1.223814011,1.261517525,0.486428559,0.409999996,0.413333327
2,simple_GRU_model,0.982358575,0.969199121,1.006007671,0.577857137,0.596666694,0.561666667
