,model,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
0,improved_GRU_model_1,0.22299423813819885,0.31736356019973755,0.34206530451774597,0.8999999761581421,0.8700000047683716,0.8583333492279053
1,improved_GRU_model_2,0.8926621675491333,0.8726983666419983,0.9128626585006714,0.6196428537368774,0.6233333349227905,0.6016666889190674
2,improved_GRU_model_3,1.1111876964569092,1.0848205089569092,1.1072014570236206,0.5046428442001343,0.5083333253860474,0.49666666984558105
3,improved_GRU_model_4,0.7081196904182434,0.8213960528373718,0.820939302444458,0.7239285707473755,0.6299999952316284,0.6416666507720947
4,improved_GRU_model_final,0.1801779568195343,0.297278493642807,0.34268906712532043,0.9132142663002014,0.875,0.846666693687439
